score,score_dealer,hard,score_if_hit,score_fin_dealer,game_id,hard_if_hit
14,10,True,22,22,423,True
7,10,True,17,22,424,True
17,10,True,27,22,424,True
12,5,True,22,22,425,True
11,5,True,15,22,426,True
15,5,True,17,22,426,True
17,5,True,27,22,426,True
18,5,True,26,22,427,True
20,11,True,27,21,428,True
13,11,True,18,21,429,True
18,11,True,21,21,429,True
21,11,True,,21,430,
10,7,True,20,23,431,True
20,7,True,24,23,431,True
10,7,True,14,23,432,True
14,7,True,20,23,432,True
20,7,True,25,23,432,True
9,7,True,17,23,433,True
17,7,True,27,23,433,True
12,7,True,22,23,434,True
12,9,True,14,19,435,True
14,9,True,24,19,435,True
21,9,True,,19,436,
10,9,True,16,19,437,True
16,9,True,17,19,437,True
17,9,True,23,19,437,True
10,9,True,17,19,438,True
17,9,True,19,19,438,True
19,9,True,24,19,438,True
13,4,True,14,19,439,True
14,4,True,14,19,439,True
14,4,True,24,19,439,True
19,4,True,28,19,440,True
7,4,True,12,19,441,True
12,4,True,22,19,441,True
10,8,True,21,19,442,True
10,8,True,20,19,443,True
20,8,True,22,19,443,True
18,8,True,21,19,444,True
20,8,True,28,19,445,True
21,6,True,,17,446,
5,6,True,13,17,447,True
13,6,True,23,17,447,True
5,6,True,12,17,448,True
12,6,True,19,17,448,True
19,6,True,21,17,448,True
16,6,True,25,17,449,True
8,2,True,17,22,450,True
17,2,True,27,22,450,True
8,2,True,14,22,451,True
14,2,True,17,22,451,True
17,2,True,27,22,451,True
11,2,True,21,22,452,True
7,2,True,13,22,453,True
13,2,True,16,22,453,True
16,2,True,18,22,453,True
18,2,True,20,22,453,True
20,2,True,30,22,453,True
19,9,True,24,24,454,True
10,9,True,13,24,455,True
13,9,True,21,24,455,True
10,9,True,20,24,456,True
20,9,True,30,24,456,True
18,9,True,21,24,457,True
17,6,True,21,18,458,True
10,6,True,15,18,459,True
15,6,True,25,18,459,True
10,6,True,21,18,460,True
16,6,True,16,18,461,True
16,6,True,18,18,461,True
18,6,True,19,18,461,True
19,6,True,20,18,461,True
20,6,True,25,18,461,True
15,6,True,19,17,462,True
19,6,True,29,17,462,True
16,6,True,23,17,463,True
11,6,True,13,17,464,True
13,6,True,18,17,464,True
18,6,True,20,17,464,True
20,6,True,30,17,464,True
14,5,True,23,20,465,True
18,5,True,19,20,466,True
19,5,True,21,20,466,True
18,5,True,19,20,467,True
19,5,True,29,20,467,True
9,10,True,14,25,468,True
14,10,True,15,25,468,True
15,10,True,23,25,468,True
21,10,True,,25,469,
7,10,True,11,25,470,True
11,10,True,19,25,470,True
19,10,True,28,25,470,True
13,5,True,23,17,471,True
12,5,True,15,17,472,True
15,5,True,25,17,472,True
9,5,True,20,17,473,True
20,5,True,21,17,473,True
15,10,True,17,20,474,True
17,10,True,25,20,474,True
13,10,True,18,20,475,True
18,10,True,28,20,475,True
13,10,True,21,20,476,True
10,5,True,19,19,477,True
19,5,True,23,19,477,True
16,5,True,21,19,478,True
15,5,True,14,19,479,True
14,5,True,24,19,479,True
16,11,True,16,17,480,True
16,11,True,17,17,480,True
17,11,True,20,17,480,True
20,11,True,26,17,480,True
15,11,True,19,17,481,True
19,11,True,29,17,481,True
10,11,True,19,17,482,True
19,11,True,21,17,482,True
13,6,True,21,19,483,True
10,6,True,20,19,484,True
20,6,True,25,19,484,True
10,6,True,20,19,485,True
20,6,True,23,19,485,True
10,6,True,12,19,486,True
12,6,True,15,19,486,True
15,6,True,20,19,486,True
20,6,True,24,19,486,True
9,10,True,20,19,487,True
20,10,True,17,19,487,True
17,10,True,24,19,487,True
16,10,True,20,19,488,True
20,10,True,18,19,488,True
18,10,True,20,19,488,True
20,10,True,21,19,488,True
12,10,True,18,19,489,True
18,10,True,23,19,489,True
10,10,True,15,25,490,True
15,10,True,24,25,490,True
10,10,True,15,25,491,True
15,10,True,23,25,491,True
10,10,True,12,25,492,True
12,10,True,19,25,492,True
19,10,True,25,25,492,True
10,10,True,16,25,493,True
16,10,True,26,25,493,True
13,10,True,14,25,494,True
14,10,True,24,25,494,True
15,9,True,23,21,495,True
5,9,True,14,21,496,True
14,9,True,23,21,496,True
11,9,True,18,21,497,True
18,9,True,28,21,497,True
12,3,True,22,19,498,True
12,3,True,20,19,499,True
20,3,True,30,19,499,True
12,3,True,21,19,500,True
15,10,True,18,26,501,True
18,10,True,28,26,501,True
7,10,True,12,26,502,True
12,10,True,15,26,502,True
15,10,True,24,26,502,True
14,10,True,15,26,503,True
15,10,True,16,26,503,True
16,10,True,26,26,503,True
18,7,True,28,20,504,True
20,7,True,21,20,505,True
8,7,True,12,20,506,True
12,7,True,22,20,506,True
14,9,True,19,19,507,True
19,9,True,29,19,507,True
16,9,True,25,19,508,True
9,9,True,17,19,509,True
17,9,True,27,19,509,True
17,10,True,25,17,510,True
5,10,True,13,17,511,True
13,10,True,14,17,511,True
14,10,True,24,17,511,True
21,10,True,,17,512,
16,11,True,26,21,513,True
17,11,True,27,21,514,True
14,11,True,15,21,515,True
15,11,True,20,21,515,True
20,11,True,22,21,515,True
18,10,True,28,18,516,True
8,10,True,17,18,517,True
17,10,True,18,18,517,True
18,10,True,19,18,517,True
19,10,True,24,18,517,True
18,10,True,28,18,518,True
12,3,True,18,21,519,True
18,3,True,23,21,519,True
18,3,True,22,21,520,True
11,3,True,21,21,521,True
21,10,True,,17,522,
17,10,True,26,17,523,True
7,10,True,17,17,524,True
17,10,True,26,17,524,True
7,10,True,9,17,525,True
9,10,True,11,17,525,True
11,10,True,19,17,525,True
19,10,True,29,17,525,True
7,3,True,13,18,526,True
13,3,True,23,18,526,True
17,3,True,23,18,527,True
21,3,True,,18,528,
17,7,True,24,20,529,True
18,7,True,22,20,530,True
11,7,True,16,20,531,True
16,7,True,20,20,531,True
20,7,True,29,20,531,True
13,11,True,20,17,532,True
20,11,True,30,17,532,True
10,11,True,20,17,533,True
20,11,True,24,17,533,True
10,11,True,13,17,534,True
13,11,True,18,17,534,True
18,11,True,21,17,534,True
15,11,True,21,17,535,True
20,10,True,12,18,536,True
